               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.033834,            0.011379,                   0,             0.82385,             0.72954,             0.81303,             0.41102,            0.038194,           0.0080002,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.033273,            0.011076,                   0,             0.79046,             0.74341,             0.79747,             0.40792,            0.035384,           0.0076283,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.032744,            0.011237,                   0,             0.80965,             0.74444,             0.80574,             0.42307,            0.034214,           0.0074299,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.032197,            0.011629,                   0,             0.85734,             0.72399,             0.81361,              0.4196,            0.036189,           0.0074543,                   0,             0.00736,             0.00736,             0.00736
                  42,              0.0322,            0.010966,                   0,             0.83202,             0.72184,             0.80487,             0.40921,            0.033978,           0.0076926,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.033156,            0.011111,                   0,             0.79692,             0.73472,             0.78699,             0.39915,            0.034718,           0.0079988,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.031755,            0.011223,                   0,             0.80242,             0.75867,             0.80815,             0.41192,            0.034592,           0.0078012,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.032244,            0.011214,                   0,             0.83426,             0.74806,             0.81602,             0.43036,            0.034499,           0.0075917,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.032535,            0.011446,                   0,             0.81515,             0.74064,              0.8007,             0.42438,            0.032855,            0.007462,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.032055,            0.010789,                   0,             0.82599,             0.72422,              0.8086,             0.43044,            0.033507,           0.0073331,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.032271,            0.010728,                   0,             0.81944,             0.75532,              0.8132,              0.4214,            0.035685,           0.0073551,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.032508,            0.011245,                   0,             0.83365,             0.74064,             0.80785,             0.40681,            0.034225,           0.0077397,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.030991,            0.010823,                   0,             0.81517,                0.75,             0.80252,             0.42651,            0.033307,           0.0074086,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.031564,            0.011263,                   0,             0.82283,             0.74179,             0.81205,             0.42396,            0.033971,           0.0073697,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.031115,            0.010747,                   0,             0.82309,             0.75417,             0.81236,             0.43557,            0.033909,           0.0075152,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.030642,            0.010418,                   0,             0.82884,             0.73925,              0.8092,             0.42784,            0.034864,           0.0077078,                   0,            0.006568,            0.006568,            0.006568
                  54,             0.03045,            0.011228,                   0,             0.83843,             0.74064,             0.80833,             0.42639,             0.03353,           0.0072467,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.031375,             0.01081,                   0,             0.85075,             0.71941,             0.81045,             0.43286,            0.033998,           0.0074278,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.030996,            0.011079,                   0,             0.83189,             0.72399,             0.79444,             0.41748,            0.034172,           0.0073228,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.029756,             0.01081,                   0,             0.82768,             0.73786,             0.80432,             0.41686,            0.035109,           0.0076306,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.029372,            0.010596,                   0,             0.85081,             0.73786,              0.8092,             0.42702,            0.033913,           0.0075773,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.02907,            0.011044,                   0,              0.8084,             0.75487,             0.81369,             0.43604,            0.033033,           0.0075489,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.029708,            0.010581,                   0,             0.81139,             0.73093,             0.78997,              0.4142,            0.033302,           0.0072992,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.029167,            0.010251,                   0,             0.83455,             0.75557,              0.8238,             0.43246,            0.033466,            0.007446,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.029481,            0.010514,                   0,             0.84793,             0.69903,             0.78003,             0.41623,            0.032622,           0.0074693,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.028315,            0.010318,                   0,             0.83212,             0.72222,             0.80706,             0.44151,            0.032687,           0.0075468,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.029985,            0.010567,                   0,             0.88008,             0.69487,             0.80176,             0.43117,            0.033129,           0.0078166,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.030068,            0.010678,                   0,             0.81889,             0.75255,             0.82123,              0.4356,            0.033817,           0.0074818,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.028147,            0.010278,                   0,             0.84028,             0.74722,             0.81469,             0.42782,            0.034045,           0.0074887,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.028347,            0.010482,                   0,             0.84911,             0.71429,             0.80468,             0.43101,            0.034098,            0.008228,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.029615,            0.010693,                   0,             0.82678,             0.73509,             0.79915,             0.42469,            0.033757,           0.0076159,                   0,            0.005578,            0.005578,            0.005578
